__OBJECTID,PUBLIC WATER SYSTEM ID,Water System Name,Status,Principal County Served,Primary Source Water Type,Longitude,Latitude,attribute_7,Note,attribute_9,x,y
178,KY0480265,BLACK MTN UTILITY/COXTON,A,HARLAN,SWP,-83.349075,36.864965,,,,-83.3490750261377,36.8649650258536
179,KY0480277,BLACK MTN UTILITY/DAYHOIT,A,HARLAN,SWP,-83.349075,36.864965,,,,-83.3490750261377,36.8649650258536
180,KY0480603,BLACK MTN UTILITY/KENVIR,A,HARLAN,SWP,-83.349075,36.864965,,,,-83.3490750261377,36.8649650258536
181,KY0480498,BLACK MTN UTILITY/LOUELLEN,A,HARLAN,GUP,-83.349075,36.864965,,,,-83.3490750261377,36.8649650258536
182,KY0480650,BLACK MTN UTILITY/ROSSPOINT,A,HARLAN,SWP,-83.349075,36.864965,,,,-83.3490750261377,36.8649650258536
183,KY0480461,BLACK MTN UTILITY/SUKEY RIDGE,A,HARLAN,SWP,-83.349075,36.864965,,,,-83.3490750261377,36.8649650258536
184,KY0480572,BLACK MTN UTILITY/WALLINS,A,HARLAN,SWP,-83.349075,36.864965,,,,-83.3490750261377,36.8649650258536
185,KY0480565,CAWOOD WATER DISTRICT,A,HARLAN,SW,-83.235751,36.783714,,,,-83.23575102591,36.783713969252
186,KY0483727,CAWOOD WATER-PATHFORK,A,HARLAN,SWP,-83.222287,36.769796,,,,-83.2222869866001,36.7697960053166
187,KY0480092,CUMBERLAND MUNICIPAL WATER WORKS,A,HARLAN,SW,-82.992681,36.974753,,,,-82.9926810135772,36.9747530355025
188,KY0480125,EVARTS MUNICIPAL WATER PLANT,A,HARLAN,GU,-83.152929,36.869484,,,,-83.1529289618285,36.8694839973051
189,KY0480341,GREEN HILLS WATER DISTRICT,A,HARLAN,SWP,-83.349075,36.864965,,,,-83.3490750261377,36.8649650258536
190,KY0480178,HARLAN MUNICIPAL WATER WORKS,A,HARLAN,SW,-83.321157,36.843835,,,,-83.3211570040747,36.8438350247773
191,KY0482399,KINGDOM COME STATE PARK,A,HARLAN,SW,-82.982056,36.982938,,,,-82.9820560098913,36.9829379910646
192,KY0480262,LYNCH WATER WORKS,A,HARLAN,SW,-82.91227,36.964839,,,,-82.9122700277183,36.9648390011816
193,KY0483135,PINE MT SETTLEMENT SCHOOL,A,HARLAN,SW,-83.184928,36.949398,,,,-83.1849280302272,36.9493980280016
194,KY0490096,CYNTHIANA MUNICIPAL WATER WORKS,A,HARRISON,SW,-84.296198,38.388662,,,,-84.2961980254316,38.3886619945987
195,KY0490179,HARRISON COUNTY WATER ASSOC,A,HARRISON,SWP,-84.314475,38.363418,,,,-84.3144749685392,38.3634179828034
196,KY0500166,GREEN RIVER VALLEY WATER DISTRICT,A,HART,SW,-85.885959,37.178414,,,,-85.8859589804889,37.178413991848
197,KY0500476,HORSE CAVE WATER SYSTEM,A,HART,SWP,-85.885959,37.178414,,,,-85.8859589804889,37.178413991848
198,KY0500305,MUNFORDVILLE WATER DEPT,A,HART,SWP,-85.889886,37.270934,,,,-85.8898859657534,37.2709340112832
199,KY0512406,CENTURY ALUMINUM SEBREE LLC,A,HENDERSON,SW,-87.512155,37.669002,,,,-87.5121549746493,37.6690019677257
200,KY0513013,ELLIS PARK RACE COURSE,A,HENDERSON,GW,-87.561829,37.884793,,,,-87.5618290250837,37.8847930216551
